db_size,batch_index,batch_ops,batch_wall_ns,total_sample_ns,mean_ns,p50_ns,p95_ns,ops_per_sec,cumulative_ops
4097,0,128,88091,78899,616,500,799,1453042.88,128
4097,1,128,77105,68218,532,499,600,1660073.93,256
4097,2,128,73809,64729,505,499,600,1734205.86,384
4097,3,128,73510,64823,506,499,600,1741259.69,512
4097,4,128,74108,65620,512,499,699,1727208.94,640
4097,5,128,110663,100972,788,599,899,1156664.83,768
4097,6,128,73509,65314,510,499,600,1741283.38,896
4097,7,128,74108,65120,508,499,600,1727208.94,1024
4097,8,128,82498,72607,567,500,799,1551552.76,1152
4097,9,128,74009,65715,513,499,699,1729519.38,1280
4097,10,128,124048,115354,901,500,899,1031858.64,1408
4098,11,128,74608,66016,515,499,699,1715633.71,1536
4098,12,128,73010,64021,500,499,599,1753184.50,1664
4098,13,128,71911,63916,499,499,599,1779978.03,1792
4098,14,128,70913,62723,490,499,599,1805028.70,1920
4098,15,128,70812,62525,488,499,599,1807603.23,2048
4098,16,128,70114,62525,488,499,500,1825598.31,2176
4098,17,128,69314,61023,476,499,500,1846668.78,2304
4098,18,128,69415,61623,481,499,599,1843981.85,2432
4098,19,128,69814,60827,475,499,500,1833443.15,2560
4098,20,128,70114,60922,475,499,599,1825598.31,2688
4098,21,128,104171,95486,745,499,600,1228748.88,2816
4099,22,128,70214,61125,477,499,599,1822998.26,2944
4099,23,128,70214,62324,486,499,599,1822998.26,3072
4099,24,128,69914,62627,489,499,599,1830820.72,3200
4099,25,128,70314,62724,490,499,599,1820405.61,3328
4099,26,128,69315,60424,472,499,599,1846642.14,3456
4099,27,128,69214,61524,480,499,599,1849336.84,3584
4099,28,128,68017,58937,460,400,500,1881882.47,3712
4099,29,128,68715,59829,467,499,500,1862766.50,3840
4099,30,128,68815,60226,470,499,500,1860059.58,3968
4099,31,128,69015,61523,480,499,599,1854669.27,4096
