db_size,batch_index,batch_ops,batch_wall_ns,total_sample_ns,mean_ns,p50_ns,p95_ns,ops_per_sec,cumulative_ops
5001,0,128,76082,68571,535,458,732,1682395.31,128
5001,1,128,82673,74255,580,458,733,1548268.48,256
5001,2,128,69489,62166,485,458,550,1842018.16,384
5001,3,128,66010,58966,460,458,550,1939100.14,512
5001,4,128,73792,65013,507,458,732,1734605.38,640
5001,5,128,66743,58234,454,458,550,1917804.11,768
5001,6,128,74250,65092,508,458,733,1723905.72,896
5001,7,128,70954,62620,489,458,732,1803985.68,1024
5001,8,128,67109,59871,467,458,550,1907344.77,1152
5001,9,128,66102,58056,453,458,550,1936401.32,1280
5001,10,128,65919,58321,455,458,550,1941777.03,1408
5001,11,128,96864,89355,698,458,641,1321440.37,1536
5002,12,128,65644,57772,451,458,550,1949911.64,1664
5002,13,128,64728,56572,441,457,549,1977505.87,1792
5002,14,128,66743,58320,455,457,550,1917804.11,1920
5002,15,128,63447,55297,432,457,458,2017431.87,2048
5002,16,128,63813,56123,438,457,549,2005860.87,2176
5002,17,128,64180,55390,432,457,549,1994390.78,2304
5002,18,128,67566,59698,466,457,549,1894443.95,2432
5002,19,128,61067,53012,414,457,458,2096058.43,2560
5002,20,128,63630,56581,442,457,549,2011629.73,2688
5002,21,128,63722,54929,429,367,549,2008725.40,2816
5002,22,128,67658,59691,466,457,550,1891867.92,2944
5002,23,128,82032,72874,569,458,733,1560366.69,3072
5003,24,128,67750,59239,462,458,641,1889298.89,3200
5003,25,128,63264,55485,433,457,549,2023267.58,3328
5003,26,128,63080,54752,427,457,458,2029169.31,3456
5003,27,128,63081,54934,429,457,549,2029137.14,3584
5003,28,128,62806,55210,431,457,549,2038021.85,3712
5003,29,128,62806,54018,422,367,458,2038021.85,3840
5003,30,128,75990,67850,530,457,550,1684432.16,3968
5003,31,128,62897,55395,432,457,549,2035073.21,4096
