db_size,batch_index,batch_ops,batch_wall_ns,total_sample_ns,mean_ns,p50_ns,p95_ns,ops_per_sec,cumulative_ops
102,0,128,24071053,24009988,187578,641,140169,5317.59,128
230,1,128,104280,84866,663,550,916,1227464.52,256
358,2,128,9283007,9260222,72345,550,4944,13788.64,384
486,3,128,100251,81754,638,549,641,1276795.24,512
614,4,128,100251,82224,642,550,733,1276795.24,640
742,5,128,10372955,10351443,80870,550,52552,12339.78,768
870,6,128,95399,76903,600,549,641,1341733.14,896
998,7,128,111146,92564,723,550,824,1151638.39,1024
1126,8,128,95582,77364,604,549,641,1339164.28,1152
1254,9,128,112154,94301,736,550,733,1141287.87,1280
1382,10,128,99977,81667,638,550,824,1280294.47,1408
1510,11,128,105104,86975,679,550,1099,1217841.38,1536
1638,12,128,11938250,11916177,93095,641,261661,10721.84,1664
1766,13,128,119020,98966,773,641,1007,1075449.50,1792
1894,14,128,109498,88714,693,550,916,1168971.12,1920
2022,15,128,97505,79738,622,549,641,1312753.19,2048
2150,16,128,104646,85421,667,550,916,1223171.45,2176
2278,17,128,98512,80566,629,550,732,1299334.09,2304
2406,18,128,96314,78373,612,549,641,1328986.44,2432
2534,19,128,97688,79291,619,550,733,1310294.00,2560
2662,20,128,96956,78649,614,550,732,1320186.48,2688
2790,21,128,100343,82033,640,549,733,1275624.61,2816
2918,22,128,139528,121308,947,550,916,917378.59,2944
3046,23,128,100526,82489,644,550,733,1273302.43,3072
3174,24,128,14036298,14010939,109460,641,266971,9119.21,3200
3302,25,128,131013,113250,884,641,1831,977002.28,3328
3430,26,128,132845,114905,897,550,732,963528.92,3456
3558,27,128,108125,88353,690,550,1007,1183815.03,3584
3686,28,128,118104,99607,778,550,733,1083790.56,3712
3814,29,128,117647,80660,630,550,641,1088000.54,3840
3942,30,128,96315,78552,613,549,641,1328972.64,3968
4070,31,128,152803,134583,1051,549,733,837679.89,4096
